GridSize Iterations Method ExecTime_CPU MLUPS_CPU
64 100 3 1.535647468 17.070584
64 100 4 1.491473898 17.576170
64 200 3 1.438979925 36.434698
64 200 4 1.464060200 35.810549
64 400 3 1.492552999 70.253853
64 400 4 1.494319256 70.170814
64 800 3 1.589933807 131.901843
64 800 4 1.507882055 139.079312
128 100 3 1.672326789 125.403241
128 100 4 1.697255627 123.561352
128 200 3 1.965274595 213.420761
128 200 4 1.896005698 221.217900
128 400 3 2.429302942 345.309259
128 400 4 2.417207745 347.037114
128 800 3 3.415886777 491.152578
128 800 4 2.431768143 689.918405
256 100 3 3.349767602 500.847162
256 100 4 3.276356361 512.069327
256 200 3 5.219404512 642.878549
256 200 4 5.108586752 656.824159
256 400 3 8.940603475 750.607765
256 400 4 5.908874610 1135.730040
256 800 3 16.371050320 819.847996
256 800 4 5.902722635 2273.827457
384 100 3 10.189067553 555.724100
384 100 4 10.394862582 544.722006
384 200 3 16.297868630 694.852870
384 200 4 15.470245106 732.025945
384 400 3 28.646326005 790.650835
384 400 4 15.574201114 1454.279512
384 800 3 53.120558487 852.748624
384 800 4 15.474960020 2927.211646
