GridSize Iterations Method ExecTime_GPU MLUPS_GPU
64 100 1 1.710303318 15.327339
64 100 4 1.599982376 16.384180
64 200 1 1.703164289 30.783172
64 200 4 1.685197834 31.111362
64 400 1 1.905730653 55.022256
64 400 4 1.926234728 54.436563
64 800 1 2.370513147 88.468271
64 800 4 2.115170420 99.148133
128 100 1 2.302834263 91.068299
128 100 4 2.309571052 90.802662
128 200 1 3.126562976 134.150632
128 200 4 3.179798182 131.904723
128 400 1 4.751011844 176.564661
128 400 4 4.689446730 178.882680
128 800 1 7.946115669 211.137324
128 800 4 4.688164224 357.863231
256 100 1 5.145401533 326.062327
256 100 4 5.198604789 322.725359
256 200 1 8.712071747 385.148710
256 200 4 8.810651422 380.839399
256 400 1 15.902851260 421.992653
256 400 4 10.466821185 641.158025
256 800 1 30.264176818 443.487126
256 800 4 10.392595082 1291.474621
384 100 1 12.493242654 453.229842
384 100 4 12.540432733 451.524323
384 200 1 20.741280908 545.994283
384 200 4 19.801285602 571.913411
384 400 1 37.305429096 607.129904
384 400 4 19.823956438 1142.518733
384 800 1 70.340369073 643.989842
384 800 4 19.792681427 2288.648123
