GridSize Iterations ExecTime_CPU ExecTime_GPU MLUPS_CPU MLUPS_GPU
64 100 2.006086800 1.421579369 13.067430 18.440335
64 200 2.421419029 1.489226963 21.652097 35.205379
64 400 3.179497489 1.589031157 32.979299 65.988385
64 800 4.579703363 1.396060798 45.792310 150.219245
128 100 3.360886746 1.467189328 62.398770 142.936699
128 200 5.496225476 1.811560988 76.312444 231.529825
128 400 9.116201112 1.427637188 92.018680 587.586823
128 800 16.884690419 1.464411347 99.363480 1145.662797
256 100 9.370120873 1.518653234 179.050155 1104.743046
256 200 16.945473343 1.820437027 198.014132 1843.207510
256 400 32.565189171 1.487757437 206.075461 4510.739609
256 800 63.870664515 1.553320189 210.139864 8640.699383
384 100 22.049252526 4.143368449 256.802827 1366.595915
384 200 39.780078334 4.057051998 284.680706 2791.342286
384 400 75.673419859 4.039945639 299.302471 5606.323357
384 800 146.776368179 4.150434216 308.622455 10914.155204
