GridSize Iterations ExecTime_1GPU ExecTime_2GPU Speedup
64 100 0.511063 0.439252 1.163484
64 200 1.014508 0.514935 1.970167
64 400 2.004278 0.662868 3.023645
64 800 3.994166 0.997714 4.003317
128 100 2.450151 0.720576 3.400267
128 200 4.877755 1.089034 4.478974
128 400 9.716883 1.797496 5.405788
128 800 19.422383 3.189475 6.089523
256 100 9.759968 2.733753 3.570171
256 200 19.545824 5.088958 3.840830
256 400 39.007420 9.804647 3.978462
256 800 78.093101 19.245377 4.057758
384 100 22.320088 6.079416 3.671419
384 200 44.570107 11.764459 3.788538
384 400 89.459621 23.093181 3.873854
384 800 177.996350 45.687855 3.895922
