Method, Size, Kernel (s), GFLOPS/s
mkn_offload, 100, 0.002257, .886132
mkn_offload, 200, 0.003605, 4.438280
mkn_offload, 500, 0.002615, 95.602294
mkn_offload, 1000, 0.009951, 200.984825
mkn_offload, 2000, 0.089749, 178.274966
mkn_offload, 5000, 1.073735, 232.832123
mnk_offload, 100, 0.005099, .392233
mnk_offload, 200, 0.007366, 2.172142
mnk_offload, 500, 0.005121, 48.818590
mnk_offload, 1000, 0.003306, 604.960677
mnk_offload, 2000, 0.016789, 953.004943
mnk_offload, 5000, 0.319276, 783.021586
blk_offload, 100, 0.001656, 1.207729
blk_offload, 200, 0.004489, 3.564268
blk_offload, 500, 0.001763, 141.803743
blk_offload, 1000, 0.002590, 772.200772
blk_offload, 2000, 0.009625, 1662.337662
blk_offload, 5000, 0.137915, 1812.710727
