Method, Size, Kernel (s), GFLOPS/s
mkn_offload, 100, 0.005921, .337780
mkn_offload, 200, 0.007583, 2.109982
mkn_offload, 500, 0.002604, 96.006144
mkn_offload, 1000, 0.009920, 201.612903
mkn_offload, 2000, 0.089516, 178.738996
mkn_offload, 5000, 1.074596, 232.645570
mnk_offload, 100, 0.001608, 1.243781
mnk_offload, 200, 0.003082, 5.191434
mnk_offload, 500, 0.001822, 137.211855
mnk_offload, 1000, 0.003265, 612.557427
mnk_offload, 2000, 0.017090, 936.220011
mnk_offload, 5000, 0.319228, 783.139323
blk_offload, 100, 0.001606, 1.245330
blk_offload, 200, 0.003366, 4.753416
blk_offload, 500, 0.001856, 134.698275
blk_offload, 1000, 0.002547, 785.237534
blk_offload, 2000, 0.011260, 1420.959147
blk_offload, 5000, 0.143632, 1740.559206
