Method, Size, H2D (s), Kernel (s), D2H (s)
mkn_offload, 100, 0.001462, 0.006214, 0.000050
mkn_offload, 200, 0.001472, 0.007108, 0.000051
mkn_offload, 500, 0.006801, 0.003045, 0.000113
mkn_offload, 1000, 0.006528, 0.014498, 0.000234
mkn_offload, 2000, 0.009828, 0.136151, 0.000805
mkn_offload, 5000, 0.018361, 1.596079, 0.004423
mnk_offload, 100, 0.001549, 0.003587, 0.000049
mnk_offload, 200, 0.001399, 0.002071, 0.000050
mnk_offload, 500, 0.012216, 0.002386, 0.000111
mnk_offload, 1000, 0.007878, 0.005328, 0.000224
mnk_offload, 2000, 0.015427, 0.027870, 0.000755
mnk_offload, 5000, 0.011991, 0.430635, 0.004552
blk_offload, 100, 0.001354, 0.012046, 0.000053
blk_offload, 200, 0.001612, 0.004329, 0.000054
blk_offload, 500, 0.013899, 0.016494, 0.000091
blk_offload, 1000, 0.005550, 0.003595, 0.000217
blk_offload, 2000, 0.010918, 0.013997, 0.000739
blk_offload, 5000, 0.015932, 0.205483, 0.004497
asy_offload, 100, 0.001526, 0.005642, 0.000041
asy_offload, 200, 0.001666, 0.011364, 0.000045
asy_offload, 500, 0.008288, 0.002876, 0.000080
asy_offload, 1000, 0.006246, 0.005295, 0.000215
asy_offload, 2000, 0.003895, 0.034393, 0.000738
asy_offload, 5000, 0.024244, 0.434941, 0.004560
blk_offload2, 100, 0.001354, 0.012046, 0.000053
blk_offload2, 200, 0.001612, 0.004329, 0.000054
blk_offload2, 500, 0.013899, 0.016494, 0.000091
blk_offload2, 1000, 0.005550, 0.003595, 0.000217
blk_offload2, 2000, 0.010918, 0.013997, 0.000739
blk_offload2, 5000, 0.015932, 0.205483, 0.004497
