Method, Size, Kernel (s), GFLOPS/s
mkn_offload, 100, 0.001564, 1.278772
mkn_offload, 200, 0.001976, 8.097165
mkn_offload, 500, 0.003227, 77.471335
mkn_offload, 1000, 0.014809, 135.053008
mkn_offload, 2000, 0.141941, 112.722891
mkn_offload, 5000, 1.658987, 150.694369
mnk_offload, 100, 0.003419, .584966
mnk_offload, 200, 0.001685, 9.495548
mnk_offload, 500, 0.002455, 101.832993
mnk_offload, 1000, 0.004261, 469.373386
mnk_offload, 2000, 0.024080, 664.451827
mnk_offload, 5000, 0.434145, 575.844475
asy_offload, 100, 0.015119, .132283
asy_offload, 200, 0.009630, 1.661474
asy_offload, 500, 0.023554, 10.613908
asy_offload, 1000, 0.028567, 70.010851
asy_offload, 2000, 0.071139, 224.911792
