Method, Size, Kernel (s), GFLOPS/s
mkn_offload, 100, 0.003045, .656814
mkn_offload, 200, 0.005410, 2.957486
mkn_offload, 500, 0.002584, 96.749226
mkn_offload, 1000, 0.009923, 201.551950
mkn_offload, 2000, 0.094254, 169.754068
mkn_offload, 5000, 1.074423, 232.683030
mnk_offload, 100, 0.013292, .150466
mnk_offload, 200, 0.005630, 2.841918
mnk_offload, 500, 0.001865, 134.048257
mnk_offload, 1000, 0.003258, 613.873542
mnk_offload, 2000, 0.016775, 953.800298
mnk_offload, 5000, 0.321227, 778.265836
blk_offload, 100, 0.004854, .412031
blk_offload, 200, 0.009325, 1.715817
blk_offload, 500, 0.001771, 141.163184
blk_offload, 1000, 0.002587, 773.096250
blk_offload, 2000, 0.009713, 1647.276845
blk_offload, 5000, 0.136866, 1826.604123
asy_offload, 100, 0.016309, .122631
asy_offload, 200, 0.018718, .854792
asy_offload, 500, 0.003037, 82.318077
asy_offload, 1000, 0.005574, 358.808754
asy_offload, 2000, 0.019634, 814.912906
asy_offload, 5000, 0.222456, 1123.817743
blk_offload5, 100, 0.004801, .416579
blk_offload5, 200, 0.004227, 3.785190
blk_offload5, 500, 0.002190, 114.155251
blk_offload5, 1000, 0.003170, 630.914826
blk_offload5, 2000, 0.013322, 1201.020867
blk_offload5, 5000, 0.194152, 1287.650912
