Method, Size, Kernel (s), GFLOPS/s
mkn_offload, 100, 0.002930, .682593
mkn_offload, 200, 0.001783, 8.973639
mkn_offload, 500, 0.003010, 83.056478
mkn_offload, 1000, 0.014628, 136.724090
mkn_offload, 2000, 0.141283, 113.247878
mkn_offload, 5000, 1.653583, 151.186846
mnk_offload, 100, 0.003067, .652103
mnk_offload, 200, 0.001469, 10.891763
mnk_offload, 500, 0.001753, 142.612664
mnk_offload, 1000, 0.004013, 498.380264
mnk_offload, 2000, 0.024318, 657.948844
mnk_offload, 5000, 0.431366, 579.554253
blk_offload, 100, 0.004801, .416579
blk_offload, 200, 0.004227, 3.785190
blk_offload, 500, 0.002190, 114.155251
blk_offload, 1000, 0.003170, 630.914826
blk_offload, 2000, 0.013322, 1201.020867
blk_offload, 5000, 0.194152, 1287.650912
asy_offload, 100, 0.015032, .133049
asy_offload, 200, 0.002939, 5.444028
asy_offload, 500, 0.008670, 28.835063
asy_offload, 1000, 0.005953, 335.965059
asy_offload, 2000, 0.021247, 753.047489
asy_offload, 5000, 0.246208, 1015.401611
