Method, Size, H2D (s), Kernel (s), D2H (s)
mkn_offload, 100, 0.001515, 0.004152, 0.000051
mkn_offload, 200, 0.001624, 0.001979, 0.000053
mkn_offload, 500, 0.007101, 0.003437, 0.000116
mkn_offload, 1000, 0.006943, 0.014645, 0.000237
mkn_offload, 2000, 0.009368, 0.139530, 0.000792
mkn_offload, 5000, 0.016100, 1.598253, 0.004459
mnk_offload, 100, 0.001464, 0.010134, 0.000054
mnk_offload, 200, 0.001839, 0.003878, 0.000054
mnk_offload, 500, 0.010368, 0.003194, 0.000108
mnk_offload, 1000, 0.011581, 0.004305, 0.000227
mnk_offload, 2000, 0.004644, 0.023504, 0.000749
mnk_offload, 5000, 0.019260, 0.424893, 0.004603
blk_offload, 100, 0.001403, 0.002075, 0.000048
blk_offload, 200, 0.001599, 0.004002, 0.000052
blk_offload, 500, 0.011080, 0.002379, 0.000106
blk_offload, 1000, 0.007302, 0.007632, 0.000226
blk_offload, 2000, 0.003864, 0.013411, 0.000736
blk_offload, 5000, 0.010633, 0.195680, 0.004383
asy_offload, 100, 0.000868, 0.007219, 0.000003
asy_offload, 200, 0.000879, 0.010104, 0.000005
asy_offload, 500, 0.006109, 0.003633, 0.000009
asy_offload, 1000, 0.007433, 0.006676, 0.000017
asy_offload, 2000, 0.007034, 0.020227, 0.000034
asy_offload, 5000, 0.010151, 0.250538, 0.000085
