Method, Size, H2D (s), Kernel (s), D2H (s)
mkn_offload, 100, 0.001630, 0.002074, 0.000071
mkn_offload, 200, 0.001773, 0.002874, 0.000074
mkn_offload, 500, 0.003823, 0.003489, 0.000206
mkn_offload, 1000, 0.011118, 0.014862, 0.000681
mkn_offload, 2000, 0.008525, 0.138104, 0.002474
mkn_offload, 5000, 0.014790, 1.605169, 0.009602
mnk_offload, 100, 0.001667, 0.005435, 0.000074
mnk_offload, 200, 0.001726, 0.004128, 0.000079
mnk_offload, 500, 0.016784, 0.002315, 0.000193
mnk_offload, 1000, 0.005691, 0.004432, 0.000665
mnk_offload, 2000, 0.007198, 0.023775, 0.001278
mnk_offload, 5000, 0.020380, 0.424790, 0.010111
blk_offload, 100, 0.001545, 0.002002, 0.000071
blk_offload, 200, 0.001772, 0.002095, 0.000075
blk_offload, 500, 0.016121, 0.002164, 0.000194
blk_offload, 1000, 0.015703, 0.003284, 0.000629
blk_offload, 2000, 0.009005, 0.014062, 0.001298
blk_offload, 5000, 0.018853, 0.204602, 0.009554
asy_offload, 100, 0.000977, 0.016524, 0.000003
asy_offload, 200, 0.001189, 0.005362, 0.000005
asy_offload, 500, 0.015496, 0.006968, 0.000011
asy_offload, 1000, 0.004038, 0.012625, 0.000019
asy_offload, 2000, 0.009158, 0.024585, 0.000036
asy_offload, 5000, 0.011793, 0.307764, 0.000100
blk_offload5, 100, 0.001403, 0.002075, 0.000048
blk_offload5, 200, 0.001599, 0.004002, 0.000052
blk_offload5, 500, 0.011080, 0.002379, 0.000106
blk_offload5, 1000, 0.007302, 0.007632, 0.000226
blk_offload5, 2000, 0.003864, 0.013411, 0.000736
blk_offload5, 5000, 0.010633, 0.195680, 0.004383
