Method, Threads, Size, Execution Time (s), MFLOPS
mkn_omp, 1, 100, 0.000438, 4566.21
mkn_omp, 1, 200, 0.003874, 4130.09
mkn_omp, 1, 500, 0.111961, 2232.92
mkn_omp, 1, 1000, 0.922971, 2166.91
mkn_omp, 1, 2000, 8.218674, 1946.78
mkn_omp, 1, 5000, 543.828912, 459.70
mkn_omp, 2, 100, 0.000281, 7117.43
mkn_omp, 2, 200, 0.001979, 8084.89
mkn_omp, 2, 500, 0.056142, 4452.99
mkn_omp, 2, 1000, 0.461868, 4330.24
mkn_omp, 2, 2000, 3.862451, 4142.44
mkn_omp, 2, 5000, 267.975817, 932.92
mkn_omp, 4, 100, 0.000146, 13698.63
mkn_omp, 4, 200, 0.001015, 15763.54
mkn_omp, 4, 500, 0.028138, 8884.78
mkn_omp, 4, 1000, 0.230971, 8659.09
mkn_omp, 4, 2000, 2.114764, 7565.85
