Method, Matrix Size, Teams, Kernel (s), GFLOPS/s
mkn_offload, 1000, 1, 0.008153, 245.308475
mnk_offload, 1000, 1, 0.003520, 568.181818
mkn_offload, 1000, 32, 0.008096, 247.035573
mnk_offload, 1000, 32, 0.002772, 721.500721
mkn_offload, 1000, 64, 0.008048, 248.508946
mnk_offload, 1000, 64, 0.002912, 686.813186
mkn_offload, 1000, 114, 0.008120, 246.305418
mnk_offload, 1000, 114, 0.002789, 717.102904
mkn_offload, 1000, 228, 0.009507, 210.371305
mnk_offload, 1000, 228, 0.004227, 473.148805
mkn_offload, 1000, 456, 0.009640, 207.468879
mnk_offload, 1000, 456, 0.004669, 428.357249
mkn_offload, 1000, 912, 0.008073, 247.739378
mnk_offload, 1000, 912, 0.002814, 710.732054
mkn_offload, 1000, 1824, 0.009859, 202.860330
mnk_offload, 1000, 1824, 0.002820, 709.219858
mkn_offload, 1000, 3648, 0.007984, 250.501002
mnk_offload, 1000, 3648, 0.002755, 725.952813
mkn_offload, 1000, 7296, 0.008056, 248.262164
mnk_offload, 1000, 7296, 0.002782, 718.907260
mkn_offload, 1000, 14592, 0.008143, 245.609726
mnk_offload, 1000, 14592, 0.002837, 704.970038
mkn_offload, 1000, 29184, 0.012837, 155.799641
mnk_offload, 1000, 29184, 0.002862, 698.812019
