Method, Matrix Size, Teams, Kernel (s), GFLOPS/s
mkn_offload, 1000, 1, 0.008005, 249.843847
mnk_offload, 1000, 1, 0.003325, 601.503759
mkn_offload, 1000, 32, 0.008009, 249.719066
mnk_offload, 1000, 32, 0.002819, 709.471443
mkn_offload, 1000, 64, 0.008094, 247.096614
mnk_offload, 1000, 64, 0.002890, 692.041522
mkn_offload, 1000, 114, 0.008040, 248.756218
mnk_offload, 1000, 114, 0.003190, 626.959247
mkn_offload, 1000, 228, 0.007998, 250.062515
mnk_offload, 1000, 228, 0.002910, 687.285223
mkn_offload, 1000, 456, 0.008080, 247.524752
mnk_offload, 1000, 456, 0.002937, 680.966973
mkn_offload, 1000, 912, 0.009257, 216.052716
mnk_offload, 1000, 912, 0.002882, 693.962526
mkn_offload, 1000, 1824, 0.008171, 244.768082
mnk_offload, 1000, 1824, 0.002808, 712.250712
mkn_offload, 1000, 3648, 0.008554, 233.808744
mnk_offload, 1000, 3648, 0.002880, 694.444444
mkn_offload, 1000, 7296, 0.008238, 242.777373
mnk_offload, 1000, 7296, 0.002741, 729.660707
mkn_offload, 1000, 14592, 0.008135, 245.851259
mnk_offload, 1000, 14592, 0.002850, 701.754385
mkn_offload, 1000, 29184, 0.008061, 248.108175
mnk_offload, 1000, 29184, 0.003133, 638.365783
