Method, Matrix Size, Teams, Threads, Kernel (s), GFLOPS/s
mkn_offload, 1000, 64, 32, 0, 0
mnk_offload, 1000, 64, 32, 0, 0
mkn_offload, 1000, 64, 64, 0, 0
mnk_offload, 1000, 64, 64, 0, 0
mkn_offload, 1000, 64, 128, 0, 0
mnk_offload, 1000, 64, 128, 0, 0
mkn_offload, 1000, 64, 256, 0, 0
mnk_offload, 1000, 64, 256, 0, 0
mkn_offload, 1000, 64, 512, 0, 0
mnk_offload, 1000, 64, 512, 0, 0
mkn_offload, 1000, 128, 32, 0, 0
mnk_offload, 1000, 128, 32, 0, 0
mkn_offload, 1000, 128, 64, 0, 0
mnk_offload, 1000, 128, 64, 0, 0
mkn_offload, 1000, 128, 128, 0, 0
mnk_offload, 1000, 128, 128, 0, 0
mkn_offload, 1000, 128, 256, 0, 0
mnk_offload, 1000, 128, 256, 0, 0
mkn_offload, 1000, 128, 512, 0, 0
mnk_offload, 1000, 128, 512, 0, 0
mkn_offload, 1000, 256, 32, 0, 0
mnk_offload, 1000, 256, 32, 0, 0
mkn_offload, 1000, 256, 64, 0, 0
mnk_offload, 1000, 256, 64, 0, 0
mkn_offload, 1000, 256, 128, 0, 0
mnk_offload, 1000, 256, 128, 0, 0
mkn_offload, 1000, 256, 256, 0, 0
mnk_offload, 1000, 256, 256, 0, 0
mkn_offload, 1000, 256, 512, 0, 0
mnk_offload, 1000, 256, 512, 0, 0
mkn_offload, 1000, 512, 32, 0, 0
mnk_offload, 1000, 512, 32, 0, 0
mkn_offload, 1000, 512, 64, 0, 0
mnk_offload, 1000, 512, 64, 0, 0
mkn_offload, 1000, 512, 128, 0, 0
mnk_offload, 1000, 512, 128, 0, 0
mkn_offload, 1000, 512, 256, 0, 0
mnk_offload, 1000, 512, 256, 0, 0
mkn_offload, 1000, 512, 512, 0, 0
mnk_offload, 1000, 512, 512, 0, 0
mkn_offload, 1000, 1024, 32, 0, 0
mnk_offload, 1000, 1024, 32, 0, 0
mkn_offload, 1000, 1024, 64, 0, 0
mnk_offload, 1000, 1024, 64, 0, 0
mkn_offload, 1000, 1024, 128, 0, 0
mnk_offload, 1000, 1024, 128, 0, 0
mkn_offload, 1000, 1024, 256, 0, 0
mnk_offload, 1000, 1024, 256, 0, 0
mkn_offload, 1000, 1024, 512, 0, 0
mnk_offload, 1000, 1024, 512, 0, 0
mkn_offload, 1000, 2048, 32, 0, 0
mnk_offload, 1000, 2048, 32, 0, 0
mkn_offload, 1000, 2048, 64, 0, 0
mnk_offload, 1000, 2048, 64, 0, 0
mkn_offload, 1000, 2048, 128, 0, 0
mnk_offload, 1000, 2048, 128, 0, 0
mkn_offload, 1000, 2048, 256, 0, 0
mnk_offload, 1000, 2048, 256, 0, 0
mkn_offload, 1000, 2048, 512, 0, 0
mnk_offload, 1000, 2048, 512, 0, 0
mkn_offload, 1000, 4096, 32, 0, 0
mnk_offload, 1000, 4096, 32, 0, 0
mkn_offload, 1000, 4096, 64, 0, 0
mnk_offload, 1000, 4096, 64, 0, 0
mkn_offload, 1000, 4096, 128, 0, 0
mnk_offload, 1000, 4096, 128, 0, 0
mkn_offload, 1000, 4096, 256, 0, 0
mnk_offload, 1000, 4096, 256, 0, 0
mkn_offload, 1000, 4096, 512, 0, 0
mnk_offload, 1000, 4096, 512, 0, 0
